89523	María José	Domínguez García	68427603       	67640893	S.SADURNI D'ANOIA	8770
89030	Blas Manuel	Polanco Giró	61478203       	61823497	VILAFRANCA DEL PENEDES	8720
83030	Albano	Barbarà Tarrida	61625403       	67162035	PIERA	8784
80235	Santiago	Meseguer Bellón	66748905       	63476108	S.MARTI SARROCA	8731
85130	Consol	Velásquez Hidalgo	64803791       	64891530	S.JOAN SAMORA	8782
84371	Emilio Francisco	Rosell Rosales	69347102       	64508671	MASQUEFA	8783
80093	Cesar	Hernández Serralvo	66108937       	64351260	VILAFRANCA DEL PENEDES	8720
83342	Edgar	González Ramos	69361074       	67826405	TORRELLES DE FOIX	8739
88230	Juan Francisco	Coll Ferrando	68039125       	68217690	GELIDA	8790
87130	Jordi	Mendizábal Prunell	69406158       	69471385	AIGUAMURCIA	43815
83210	José Norberto	Almirall Genovart	69682071       	65314729	S.MARTI SARROCA	8731
80313	Félix José	Gou Catasus	69023584       	68164395	VILAFRANCA PENEDES	8720
83832	Pere	Zar Bertran	65230871       	62953184	AVINYONET 	8793
83480	Agueda	Lopez Rexachs	61542387       	68671529	S.MARTI SARROCA	8731
80747	Borja	Carcellé Aguiar	62953614       	64627053	PIERA	8784
80935	Laura	Riveira Vallès	62069357       	66859107	FONT-RUBI	8736
89360	Susana	Monné Alcal	61586970       	60254679	ST. LLOREN HORTONS	8791
80431	Isabel	Urrutia Saperas	65987206       	67615809	S.MARTI SARROCA	8731
83841	Marta	Félix Pérez	63976812       	63012845	S.ESTEVE SESROVIR.	8635
83003	Roman	Lima Pons	61048579       	66410259	BARCELONA	8022
80693	Lara	Vargas Vargas	62153948       	62965371	LES POBLES	43815
84730	Antoni	Malet Sampedro	63614270       	68752103	FONT-RUBI	8736
82130	Jesús Manuel	González García	66539042       	62957386	PLA DEL PENEDES	8733
85533	José	Sánchez-garnica Martínez	67601432       	68067419	VILOBI PENEDES	8735
80430	Ana	La Cruz Molinas	68527064       	63051497	VILAFRANCA PENEDES	8720
85213	Jordi	Narvaez Comas	62907134       	69365471	LA BEGUDA ALTA	8782
83726	Teresa	Gómez Erazo	66839471       	63104698	AIGUAMURCIA	43815
83089	Santiago	Casas Uribeondo	62671359       	64632109	VILOBI PENEDES	8735
83730	Daniel	Guilera Marin	63840619       	68432916	S.JAUME SESOLIVER.	8784
84930	Edward Dario	Monsalve Cots	67108294       	68975312	MASQUEFA	8783
80030	Rafael	Cardo Díez	64638920       	66410923	S.PAU D'ORDAL	8739
83367	Josep M»	Alvarez Aguilera	69807531       	66354019	VILAFRANCA PENEDES	8720
82326	Irina	Mulet Vilchez	68274596       	62985603	S.MARTI SARROCA	8731
80309	Roi	Pascual Rosales	63695428       	63518974	S.JAUME SESOLIVER.	8784
84211	José Luis	Barroso Capellades	66023895       	67051683	FONT-RUBI	8736
83279	Samuel	Castanedo Brito	67236985       	68132964	AIGUAMURCIA	43815
86300	Joan	Rivera Jiménez	61379864       	64105932	S.SADURNI D'ANOIA	8770
